id,symbol,direction,opened_at,score,sim_pnl_12p,outcome,actual_pnl_pips,adr_pips,atr_pips,ema_align,kz_name,kz_range_pips,hour_utc,dow,adr_bucket,atr_bucket,kz_range_bucket,hour_block
93,USDCHF,SHORT,2026-04-10 17:16:17.710045+00:00,79.85,-17.828218687760966,SL,-17.800000000000036,59.5214285714285,12.821428571428665,1,,,17,4,mid,high,,ny_evening_16_21
94,EURJPY,LONG,2026-04-13 00:39:36.434032+00:00,86.29,12.0,TP,10.29356601327038,81.50714285714287,17.449999999999882,1,,,0,0,high,high,,asian_0_4
95,EURUSD,LONG,2026-04-13 02:01:00.450274+00:00,84.17,12.0,TP,-3.4000000000000696,65.92142857142856,11.414285714286423,1,,,2,0,mid,mid,,asian_0_4
96,CHFJPY,SHORT,2026-04-13 03:00:15.514793+00:00,70.0,12.0,TP,-21.000000000000796,112.892857142857,14.98571428571438,0,,,3,0,high,high,,asian_0_4
97,EURGBP,LONG,2026-04-13 06:46:11.868765+00:00,85.0,-10.39993987652199,SL,-9.799999999999809,27.4642857142857,2.5999999999999037,1,,,6,0,low,low,,pre_london_4_7
98,EURAUD,SHORT,2026-04-13 08:03:34.612923+00:00,60.0,-18.800000000001038,SL,-18.80000000000104,93.88571428571366,11.485714285714035,1,,,8,0,high,mid,,london_7_12
99,USDCHF,SHORT,2026-04-13 11:15:23.715615+00:00,79.85,-17.599999999999838,SL,-17.599999999999838,58.514285714285705,5.900000000000111,1,,,11,0,low,low,,london_7_12
100,NZDUSD,LONG,2026-04-13 14:00:44.730523+00:00,70.0,12.0,TP,29.94057417466922,50.72857142857164,7.8428571428572145,1,,,14,0,low,mid,,ny_morning_12_16
101,EURAUD,SHORT,2026-04-13 14:21:59.322348+00:00,60.0,12.0,TP,-17.80000000000115,94.08571428571368,15.17857142857158,1,,,14,0,high,high,,ny_morning_12_16
102,EURGBP,SHORT,2026-04-14 05:00:42.856735+00:00,60.0,-8.324757146130901,SL,-8.324757146130901,26.88571428571429,1.7214285714287465,1,,,5,1,low,low,,pre_london_4_7
103,NZDUSD,LONG,2026-04-14 23:45:56.404833+00:00,85.0,-9.936103163195042,SL,-9.936103163195042,55.50714285714297,3.8428571428571,1,,,23,1,low,low,,late_21_24
104,CHFJPY,LONG,2026-04-15 01:41:33.683612+00:00,85.69,-30.810327897549428,SL,-20.09999999999934,118.99285714285688,13.12142857142829,1,,,1,2,high,high,,asian_0_4
105,EURGBP,LONG,2026-04-15 03:00:57.621747+00:00,60.0,12.0,TP,4.485436549797273,27.228571428571456,3.4357142857142717,0,,,3,2,low,low,,asian_0_4
106,EURJPY,LONG,2026-04-15 05:07:27.171492+00:00,90.0,12.0,TP,2.5200000000000955,77.80714285714306,8.24285714285732,1,,,5,2,mid,mid,,pre_london_4_7
107,USDCHF,SHORT,2026-04-15 08:12:17.411997+00:00,70.0,-11.200000000000099,SL,-11.2000000000001,59.90000000000003,5.200000000000125,1,,,8,2,mid,low,,london_7_12
108,GBPJPY,LONG,2026-04-15 11:11:07.509577+00:00,60.1,12.0,TP,30.493075602065577,108.23571428571464,14.914285714285672,1,,,11,2,high,high,,london_7_12
109,EURUSD,LONG,2026-04-15 15:17:59.553839+00:00,100.0,12.0,TP,0.99999999999989,71.25714285714291,10.878571428571483,1,ny_evening,23.599999999999177,15,2,mid,mid,low,ny_morning_12_16
110,CHFJPY,SHORT,2026-04-15 17:00:53.282377+00:00,70.0,12.0,TP,20.057100903511017,120.48571428571404,16.107142857142826,0,asian,51.59999999999911,17,2,high,high,high,ny_evening_16_21
111,USDCHF,SHORT,2026-04-16 02:00:59.143716+00:00,90.0,12.0,TP,10.7999999999997,56.500000000000114,4.664285714285581,1,asian,15.600000000000058,2,3,low,low,low,asian_0_4
112,EURJPY,LONG,2026-04-16 07:22:34.395502+00:00,74.57,12.0,TP,12.899999999999068,77.33571428571467,11.778571428571638,1,london,38.89999999999816,7,3,mid,mid,high,london_7_12
113,EURUSD,SHORT,2026-04-16 08:00:29.125366+00:00,53.41,12.0,TP,14.80000000000148,65.54999999999993,8.3785714285716,0,london,16.599999999999948,8,3,mid,mid,low,london_7_12
114,GBPJPY,LONG,2026-04-16 14:00:44.911201+00:00,85.0,-22.90000000000134,SL,-22.90000000000134,101.91428571428614,16.778571428571556,1,ny_evening,42.40000000000066,14,3,high,high,high,ny_morning_12_16
115,CHFJPY,LONG,2026-04-17 01:00:40.378384+00:00,65.4,12.0,TP,5.400000000000205,98.89999999999962,12.70714285714283,1,london,30.89999999999975,1,4,high,high,mid,asian_0_4
116,EURUSD,LONG,2026-04-17 06:48:27.501524+00:00,90.0,12.0,TP,20.199999999999108,62.0214285714287,4.685714285713897,1,ny_morning,16.20000000000177,6,4,mid,low,low,pre_london_4_7
117,CHFJPY,SHORT,2026-04-17 07:00:32.252795+00:00,51.98,-16.40000000000157,SL,-16.40000000000157,100.12142857142814,11.264285714285904,0,london,33.69999999999891,7,4,high,mid,mid,london_7_12
118,USDCHF,SHORT,2026-04-17 09:00:57.877025+00:00,60.0,12.0,TP,26.000000000000465,55.09285714285732,4.8357142857143245,1,london,24.399999999999977,9,4,low,low,mid,london_7_12
119,EURAUD,LONG,2026-04-17 11:00:10.284454+00:00,65.0,-17.599999999999838,SL,-17.599999999999838,88.22142857142842,9.757142857143338,0,asian,28.599999999998627,11,4,high,mid,mid,london_7_12
120,EURGBP,LONG,2026-04-17 14:41:13.630156+00:00,50.0,12.0,TP,5.375814884491348,23.185714285714237,5.650000000000059,1,ny_evening,22.90000000000014,14,4,low,low,low,ny_morning_12_16
121,EURAUD,LONG,2026-04-19 23:00:25.857185+00:00,70.0,12.0,TP,13.284912026049422,86.57857142857114,19.92142857142839,0,asian,36.40000000000087,23,6,high,high,high,late_21_24
122,EURGBP,SHORT,2026-04-20 08:00:51.107737+00:00,70.0,-8.699999999999264,SL,-2.2999999999995246,22.292857142857034,2.8571428571430184,0,asian,23.30000000000054,8,0,low,low,low,london_7_12
123,CHFJPY,LONG,2026-04-20 09:03:41.304899+00:00,52.5,12.0,TP,28.600000000000136,97.34999999999953,11.642857142856908,1,london,41.100000000000136,9,0,high,mid,high,london_7_12
124,EURAUD,SHORT,2026-04-20 10:00:25.303361+00:00,63.47,12.0,TP,-21.14632486454493,85.47857142857139,10.821428571428727,1,london,23.699999999999832,10,0,high,mid,low,london_7_12
125,USDCHF,SHORT,2026-04-20 14:00:50.968099+00:00,82.93,-12.15537803887723,SL,-12.15537803887723,55.807142857142956,7.214285714285713,1,ny_evening,29.69999999999917,14,0,low,low,mid,ny_morning_12_16
126,GBPJPY,SHORT,2026-04-20 14:01:30.342782+00:00,80.0,-25.100000000000477,SL,-25.100000000000477,97.52142857142852,15.271428571428203,1,london,43.499999999997385,14,0,high,high,high,ny_morning_12_16
127,EURJPY,SHORT,2026-04-20 15:13:30.037480+00:00,55.0,-27.878644794145657,SL,-27.878644794142815,79.45000000000013,13.064285714285568,1,london,32.59999999999934,15,0,mid,high,mid,ny_morning_12_16
128,EURAUD,LONG,2026-04-21 04:00:37.283291+00:00,57.26,12.0,TP,-2.6999999999999247,86.34285714285706,9.5214285714283,0,asian,48.700000000001516,4,1,high,mid,high,pre_london_4_7
129,EURUSD,SHORT,2026-04-21 08:00:48.690312+00:00,55.0,12.0,TP,15.46549209156689,63.671428571428564,5.52142857142874,1,london,24.699999999999722,8,1,mid,low,mid,london_7_12
130,EURGBP,LONG,2026-04-21 09:00:09.740344+00:00,85.0,-11.392241804146774,SL,-8.500000000000174,23.25714285714272,4.214285714285805,1,london,10.800000000000809,9,1,low,low,low,london_7_12
131,EURAUD,SHORT,2026-04-21 17:00:05.141805+00:00,85.0,12.0,TP,6.360000000001698,89.81428571428569,14.207142857143149,1,asian,24.500000000000632,17,1,high,high,mid,ny_evening_16_21
132,CHFJPY,SHORT,2026-04-21 20:00:19.639828+00:00,55.0,12.0,TP,-22.515645649420435,103.04999999999933,16.48571428571464,0,asian,86.29999999999995,20,1,high,high,high,ny_evening_16_21
133,EURJPY,SHORT,2026-04-21 20:00:21.432498+00:00,77.5,12.0,TP,-24.72620478274621,80.95000000000019,11.907142857142869,0,london,31.499999999999773,20,1,high,high,mid,ny_evening_16_21
134,CHFJPY,LONG,2026-04-22 10:01:11.176060+00:00,60.0,-18.700000000001182,SL,-18.700000000001182,98.86428571428516,12.678571428571672,1,ny_evening,49.500000000000455,10,2,high,high,high,london_7_12
135,GBPJPY,LONG,2026-04-22 11:37:31.652040+00:00,65.0,-16.499999999999204,SL,-17.099999999999227,99.58571428571433,14.342857142857213,0,ny_evening,36.20000000000232,11,2,high,high,mid,london_7_12
136,NZDUSD,LONG,2026-04-22 12:00:42.769808+00:00,90.0,12.0,TP,2.9999999999996696,51.97857142857143,5.714285714285402,1,ny_morning,13.799999999999368,12,2,low,low,low,ny_morning_12_16
137,EURUSD,SHORT,2026-04-22 14:00:28.291031+00:00,70.0,12.0,TP,24.29999999999932,64.47857142857164,9.335714285714225,1,asian,21.100000000000563,14,2,mid,mid,low,ny_morning_12_16
138,NZDUSD,SHORT,2026-04-22 19:00:06.512348+00:00,60.0,12.0,TP,-11.011016301909482,51.97857142857143,6.671428571428502,0,asian,25.70000000000072,19,2,low,low,mid,ny_evening_16_21
139,EURAUD,SHORT,2026-04-23 15:00:07.371980+00:00,73.33,-31.200000000000117,SL,-31.69999999999895,80.00000000000007,12.621428571428307,1,london,25.900000000000922,15,3,mid,high,mid,ny_morning_12_16
140,EURAUD,LONG,2026-04-23 18:00:27.843663+00:00,62.5,12.0,TP,31.959999999999766,81.65000000000009,15.485714285714229,0,ny_evening,58.30000000000002,18,3,high,high,high,ny_evening_16_21
141,EURJPY,LONG,2026-04-23 23:00:51.486677+00:00,75.0,-17.826422918963658,SL,-17.900000000000205,76.41428571428577,8.73571428571438,0,asian,20.300000000000296,23,3,mid,mid,low,late_21_24
142,EURUSD,SHORT,2026-04-24 10:18:24.807082+00:00,80.0,-16.20000000000177,SL,-18.000000000000238,53.75714285714293,6.864285714285323,1,ny_morning,19.200000000001438,10,4,low,low,low,london_7_12
143,CHFJPY,SHORT,2026-04-24 10:18:25.642809+00:00,75.0,12.0,TP,26.987265131135132,98.82857142857091,13.442857142856976,1,asian,54.80000000000018,10,4,high,high,high,london_7_12
144,EURGBP,SHORT,2026-04-24 11:01:03.765646+00:00,75.0,12.0,TP,-9.60000000000072,22.671428571428564,3.742857142857159,1,asian,13.600000000000279,11,4,low,low,low,london_7_12
145,USDCHF,SHORT,2026-04-24 12:00:44.441700+00:00,80.0,-13.500000000000734,SL,-13.500000000000734,51.75714285714299,6.878571428571369,0,ny_morning,16.800000000000146,12,4,low,low,low,ny_morning_12_16
146,GBPJPY,LONG,2026-04-24 13:00:59.925285+00:00,70.0,12.0,TP,27.282933452555085,91.61428571428587,17.29285714285648,1,ny_morning,56.89999999999884,13,4,high,high,high,ny_morning_12_16
147,EURAUD,SHORT,2026-04-24 15:00:15.504087+00:00,80.0,12.0,TP,13.619999999998631,76.38571428571431,13.042857142857578,1,london,21.800000000000708,15,4,mid,high,low,ny_morning_12_16
148,CHFJPY,LONG,2026-04-26 23:00:10.928006+00:00,69.75,12.0,TP,21.18000000000052,95.07857142857128,14.607142857142971,0,asian,54.80000000000018,23,6,high,high,high,late_21_24
149,EURAUD,SHORT,2026-04-27 00:00:21.984081+00:00,80.0,12.0,TP,19.800000000000928,64.74999999999993,9.599999999999927,1,asian,25.299999999999212,0,0,mid,mid,mid,asian_0_4
150,USDCHF,LONG,2026-04-27 17:00:35.877563+00:00,90.0,-13.299999999999423,SL,12.720000000000065,49.18571428571446,7.271428571428547,1,ny_evening,28.599999999999735,17,0,low,mid,mid,ny_evening_16_21
151,EURGBP,SHORT,2026-04-27 19:00:03.782985+00:00,80.0,12.0,TP,5.760000000000431,23.114285714285753,4.550000000000149,1,asian,15.399999999999858,19,0,low,low,low,ny_evening_16_21
152,EURAUD,SHORT,2026-04-28 08:39:47.703905+00:00,81.76,-26.699999999999502,SL,-23.699999999999832,68.02857142857142,12.849999999999806,1,asian,28.800000000002157,8,1,mid,high,mid,london_7_12
157,EURJPY,SHORT,2026-04-28 14:00:31.882415+00:00,75.0,-38.2000000000005,SL,28.439999999999372,65.8214285714286,15.664285714286002,1,london,75.0,14,1,mid,high,high,ny_morning_12_16
159,USDCHF,LONG,2026-04-29 01:30:39.228725+00:00,60.0,12.0,TP,9.540000000000548,44.092857142857184,5.66428571428555,1,ny_evening,22.100000000000453,1,2,low,low,low,asian_0_4
160,EURJPY,LONG,2026-04-29 09:00:15.711659+00:00,85.0,12.0,TP,3.000000000000682,60.04285714285699,8.842857142857342,1,asian,21.699999999998454,9,2,mid,mid,low,london_7_12
161,EURUSD,LONG,2026-04-29 15:30:35.193549+00:00,62.89,-9.500000000000064,SL,1.1200132516808736,49.428571428571374,9.9214285714287,0,ny_evening,29.09999999999968,15,2,low,mid,mid,ny_morning_12_16
163,EURUSD,SHORT,2026-04-30 13:30:21.947935+00:00,85.0,-20.599999999999508,SL,0.0,51.6214285714283,14.70000000000003,1,ny_evening,24.099999999998012,13,3,low,high,mid,ny_morning_12_16
164,EURJPY,SHORT,2026-05-03 23:01:12.786913+00:00,70.0,12.0,TP,10.113005135116282,106.37857142857123,11.692857142856942,1,ny_morning,47.20000000000084,23,6,high,mid,high,late_21_24
165,EURJPY,LONG,2026-05-04 06:00:35.629275+00:00,70.0,12.0,TP,-1.500000000001478,106.16428571428571,30.178571428571594,0,ny_evening,66.89999999999827,6,0,high,high,high,pre_london_4_7
166,EURAUD,SHORT,2026-05-04 17:00:23.680357+00:00,73.28,12.0,TP,32.16388267703607,69.19285714285684,15.307142857143058,1,ny_evening,57.800000000001184,17,0,mid,high,high,ny_evening_16_21
