id,symbol,direction,score,opened_at,pnl_pips_flat12,outcome_flat12,actual_pnl_pips,threshold,cum_pips
112,EURJPY,LONG,74.57,2026-04-16 07:22:34.395502+00:00,12.0,TP,12.899999999999068,65,82.70377209102644
114,GBPJPY,LONG,85.0,2026-04-16 14:00:44.911201+00:00,-22.90000000000134,SL,-22.90000000000134,65,59.803772091025095
115,CHFJPY,LONG,65.4,2026-04-17 01:00:40.378384+00:00,12.0,TP,5.400000000000205,65,71.8037720910251
116,EURUSD,LONG,90.0,2026-04-17 06:48:27.501524+00:00,12.0,TP,20.199999999999108,65,83.8037720910251
119,EURAUD,LONG,65.0,2026-04-17 11:00:10.284454+00:00,-17.599999999999838,SL,-17.599999999999838,65,66.20377209102526
121,EURAUD,LONG,70.0,2026-04-19 23:00:25.857185+00:00,12.0,TP,13.284912026049422,65,78.20377209102526
122,EURGBP,SHORT,70.0,2026-04-20 08:00:51.107737+00:00,-8.699999999999264,SL,-2.2999999999995246,65,69.503772091026
125,USDCHF,SHORT,82.93,2026-04-20 14:00:50.968099+00:00,-12.15537803887723,SL,-12.15537803887723,65,57.34839405214876
126,GBPJPY,SHORT,80.0,2026-04-20 14:01:30.342782+00:00,-25.100000000000477,SL,-25.100000000000477,65,32.248394052148285
130,EURGBP,LONG,85.0,2026-04-21 09:00:09.740344+00:00,-11.392241804146774,SL,-8.500000000000174,65,20.85615224800151
131,EURAUD,SHORT,85.0,2026-04-21 17:00:05.141805+00:00,12.0,TP,6.360000000001698,65,32.85615224800151
133,EURJPY,SHORT,77.5,2026-04-21 20:00:21.432498+00:00,12.0,TP,-24.72620478274621,65,44.85615224800151
135,GBPJPY,LONG,65.0,2026-04-22 11:37:31.652040+00:00,-16.499999999999204,SL,-17.099999999999227,65,28.356152248002303
136,NZDUSD,LONG,90.0,2026-04-22 12:00:42.769808+00:00,12.0,TP,2.9999999999996696,65,40.3561522480023
137,EURUSD,SHORT,70.0,2026-04-22 14:00:28.291031+00:00,12.0,TP,24.29999999999932,65,52.3561522480023
139,EURAUD,SHORT,73.33,2026-04-23 15:00:07.371980+00:00,-31.200000000000117,SL,-31.69999999999895,65,21.156152248002186
141,EURJPY,LONG,75.0,2026-04-23 23:00:51.486677+00:00,-17.826422918963658,SL,-17.900000000000205,65,3.3297293290385284
