id,symbol,direction,entry_price,target_1,target_2,stop_loss,close_price,pnl,pnl_pips,close_reason,partial_closed,partial_close_price,partial_close_at,opened_at,closed_at,lot_size,intended_entry,intended_sl,slippage,mt5_ticket,mt5_ticket_partial,pnl_estimated,pattern_id,pattern_metadata
118,USDCHF,SHORT,0.78217,0.78062,0.77958,0.7835613793327599,0.77957,70.58,26.000000000000465,TARGET_2,1,0.78062,2026-04-17 12:48:19.038570,2026-04-17 09:00:57.877025,2026-04-17 12:54:26.051453,0.52,0.78324,0.7834713793327599,0.0010700000000000154,1597651346,1597651335,0,641,"{""kz_name"": ""london"", ""kz_high"": 0.78306, ""kz_low"": 0.78062, ""kz_range"": 0.0024399999999999977, ""rejection_price"": 0.78324}"
119,EURAUD,LONG,1.64485,1.64693,1.6488299999999998,1.64309,1.64309,-128.47999999999882,-17.599999999999838,STOP_LOSS,0,,,2026-04-17 11:00:10.284454,2026-04-17 12:48:52.283444,0.73,1.6445400000000001,1.6432850410161182,0.00030999999999981043,1597847601,1597846319,1,633,"{""kz_name"": ""asian"", ""kz_high"": 1.64693, ""kz_low"": 1.6440700000000001, ""kz_range"": 0.0028599999999998627, ""rejection_price"": 1.6445400000000001}"
120,EURGBP,LONG,0.87059,0.87127,0.873785,0.86854,0.8709139537211228,17.740189118821448,5.375814884491348,TRAILING_STOP,1,0.87127,2026-04-20 06:13:08.738193,2026-04-17 14:41:13.630156,2026-04-20 07:04:49.334052,0.33,0.87035,0.868656553369855,0.00024000000000001798,1598614831,1598614813,1,657,"{""kz_name"": ""ny_evening"", ""kz_high"": 0.87127, ""kz_low"": 0.86898, ""kz_range"": 0.0022900000000000142, ""rejection_price"": 0.87035}"
121,EURAUD,LONG,1.64399,1.64619,1.64657,1.6415578263406807,1.6440112280065124,71.73852494066688,13.284912026049422,TRAILING_STOP,1,1.64619,2026-04-20 00:08:58.959823,2026-04-19 23:00:25.857185,2026-04-20 00:59:34.002962,0.54,1.6411099999999998,1.6417078263406808,0.0028800000000002157,1600047938,1600046837,1,679,"{""kz_name"": ""asian"", ""kz_high"": 1.64619, ""kz_low"": 1.64255, ""kz_range"": 0.0036400000000000876, ""rejection_price"": 1.6411099999999998}"
122,EURGBP,SHORT,0.87082,0.86895,0.8674949999999999,0.87169,0.87105,-9.95,-2.2999999999995246,INVALIDATION,0,,,2026-04-20 08:00:51.107737,2026-04-21 06:01:43.180796,0.8,0.87099,0.8715920746692036,0.00017000000000000348,1600915798,1600915622,0,686,"{""kz_name"": ""asian"", ""kz_high"": 0.87128, ""kz_low"": 0.86895, ""kz_range"": 0.0023300000000000542, ""rejection_price"": 0.87099}"
123,CHFJPY,LONG,203.308,203.656,203.5585,203.11453232510078,203.594,57.41,28.600000000000136,TARGET_2,0,,,2026-04-20 09:03:41.304899,2026-04-20 14:53:17.199377,0.77,202.942,203.13053232510077,0.36599999999998545,1601014197,1601014193,0,699,"{""kz_name"": ""london"", ""kz_high"": 203.656, ""kz_low"": 203.245, ""kz_range"": 0.41100000000000136, ""rejection_price"": 202.942}"
124,EURAUD,SHORT,1.64361,1.64221,1.640495,1.6457246324864545,1.6457246324864545,-133.22184664663305,-21.14632486454493,STOP_LOSS,0,,,2026-04-20 10:00:25.303361,2026-04-20 11:13:16.720932,0.63,1.64405,1.6455846324864545,0.00043999999999999595,1601111126,1601111106,1,689,"{""kz_name"": ""london"", ""kz_high"": 1.64458, ""kz_low"": 1.64221, ""kz_range"": 0.0023699999999999832, ""rejection_price"": 1.64405}"
125,USDCHF,SHORT,0.77987,0.77753,0.7764850000000001,0.7810855378038877,0.7810855378038877,-74.1478060371511,-12.15537803887723,STOP_LOSS,0,,,2026-04-20 14:00:50.968099,2026-04-20 14:52:16.283577,0.61,0.78094,0.7809955378038876,0.0010700000000000154,1601645664,1601645640,1,728,"{""kz_name"": ""ny_evening"", ""kz_high"": 0.7805, ""kz_low"": 0.77753, ""kz_range"": 0.002969999999999917, ""rejection_price"": 0.78094}"
126,GBPJPY,SHORT,214.634,214.324,214.08950000000004,214.885,214.885,-150.60000000000286,-25.100000000000477,STOP_LOSS,0,,,2026-04-20 14:01:30.342782,2026-04-20 16:01:26.701868,0.6,214.742,214.86623424823904,0.10800000000000409,1601645727,1601645705,1,729,"{""kz_name"": ""london"", ""kz_high"": 214.759, ""kz_low"": 214.324, ""kz_range"": 0.43499999999997385, ""rejection_price"": 214.742}"
127,EURJPY,SHORT,186.903,186.752,186.48700000000002,187.18178644794142,187.18178644794142,-147.75681740895692,-27.878644794142815,STOP_LOSS,0,,,2026-04-20 15:13:30.037480,2026-04-20 18:55:03.438267,0.53,186.976,187.17078644794142,0.0730000000000075,1601871309,1601871299,1,731,"{""kz_name"": ""london"", ""kz_high"": 187.078, ""kz_low"": 186.752, ""kz_range"": 0.3259999999999934, ""rejection_price"": 186.976}"
