id,symbol,close_reason,actual,mfe,t1_pips,t2_pips,sl_pips,P1_lock50_at15,P2_TP_at20,P3_chand_10p,P4_chand_15p,P5_chand_20p,P6_lock60_at15,P7a_60TP20_40trail10,P7b_60TP20_40trail15,P7c_60TP20_40trail20,P8a_60TP15_40trail15,P9_70TP20_30trail15,P10_50TP20_50trail15,mfe_bucket
93,USDCHF,STOP_LOSS,-17.8,8.9,22.4,47.5,17.8,-17.8,-17.8,-1.1,-6.1,-11.1,-17.8,-11.1,-13.1,-15.1,-13.1,-14.3,-12.0,5-10p
94,EURJPY,TRAILING_STOP,10.3,126.6,10.7,37.9,26.4,26.4,20.0,-9.6,-11.2,-16.2,24.2,8.2,7.5,5.5,4.5,10.6,4.4,50p+
95,EURUSD,INVALIDATION,-3.4,162.2,15.6,25.0,9.6,20.0,20.0,-2.1,-7.1,89.8,19.0,11.2,9.2,35.4,6.2,11.9,6.4,50p+
96,CHFJPY,STOP_LOSS,-21.0,14.9,26.8,41.3,21.1,-21.1,-21.1,-0.8,-0.1,-5.1,-21.1,-13.0,-12.7,-14.7,-12.7,-14.8,-10.6,10-20p
97,EURGBP,INVALIDATION,-9.8,3.1,4.9,14.7,10.4,-10.4,-10.4,-6.9,-10.4,-10.4,-10.4,-9.0,-10.4,-10.4,-10.4,-10.4,-10.4,0-5p
98,EURAUD,STOP_LOSS,-18.8,4.2,28.4,53.4,18.8,-18.8,-18.8,-5.8,-10.8,-15.8,-18.8,-13.6,-15.6,-17.6,-15.6,-16.4,-14.8,0-5p
99,USDCHF,STOP_LOSS,-17.6,-1.9,22.3,47.4,17.6,-17.6,-17.6,-17.6,-17.6,-17.6,-17.6,-17.6,-17.6,-17.6,-17.6,-17.6,-17.6,
100,NZDUSD,TRAILING_STOP,29.9,92.3,32.3,42.8,10.7,28.9,20.0,1.8,21.5,63.3,26.1,12.7,20.6,37.3,17.6,20.4,20.7,50p+
101,EURAUD,STOP_LOSS,-17.8,21.5,29.6,54.5,17.8,-1.4,20.0,11.5,6.5,1.5,1.9,11.4,9.4,7.4,6.4,12.0,6.7,20-30p
102,EURGBP,STOP_LOSS,-8.3,1.9,6.6,12.7,8.3,-8.3,-8.3,-8.1,-8.3,-8.3,-8.3,-8.2,-8.3,-8.3,-8.3,-8.3,-8.3,0-5p
103,NZDUSD,STOP_LOSS,-9.9,-2.8,13.2,24.2,9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,
104,CHFJPY,INVALIDATION,-20.1,4.6,14.0,45.6,30.8,-30.8,-30.8,-8.9,-12.5,-15.4,-30.8,-22.0,-22.6,-24.6,-22.6,-24.7,-20.6,0-5p
105,EURGBP,TRAILING_STOP,4.5,33.1,5.6,13.7,8.1,14.3,20.0,0.5,7.6,2.6,14.5,12.2,14.5,13.0,11.5,15.9,13.1,30-50p
106,EURJPY,TRAILING_STOP,2.5,46.7,4.2,52.8,43.4,-14.2,20.0,1.2,-3.8,-4.2,-8.4,9.0,10.4,10.3,7.4,12.8,8.0,30-50p
107,USDCHF,STOP_LOSS,-11.2,3.3,9.6,21.6,11.2,-11.2,-11.2,-6.7,-11.2,-11.2,-11.2,-9.4,-11.2,-11.2,-11.2,-11.2,-11.2,0-5p
108,GBPJPY,TRAILING_STOP,30.5,47.7,35.8,59.0,15.1,-0.1,20.0,14.8,17.0,19.9,2.9,13.8,11.8,9.8,8.8,13.9,9.8,30-50p
109,EURUSD,TAKE_PROFIT,1.0,22.5,9.7,22.0,20.4,18.5,20.0,-7.4,7.5,2.5,17.8,9.0,15.0,13.0,12.0,16.3,13.8,20-30p
110,CHFJPY,TRAILING_STOP,20.1,73.3,24.9,67.1,39.6,41.0,20.0,31.4,26.4,21.4,35.8,10.4,22.6,20.6,19.6,21.9,23.2,50p+
111,USDCHF,TARGET_2,10.8,13.5,11.7,10.3,9.4,10.3,10.3,3.5,-1.5,-6.5,10.3,-4.2,-6.2,-8.2,-6.2,-7.0,-5.5,10-20p
112,EURJPY,TAKE_PROFIT,12.9,58.7,12.9,42.9,34.2,28.9,20.0,-5.9,-4.1,0.9,26.1,9.6,10.4,12.4,7.4,12.8,8.0,50p+
113,EURUSD,TARGET_2,14.8,25.1,9.2,13.6,13.1,13.6,13.6,9.5,4.5,5.1,13.6,15.8,13.8,14.0,10.8,15.4,12.3,20-30p
114,GBPJPY,STOP_LOSS,-22.9,-22.2,31.4,61.8,22.9,-22.9,-22.9,-22.9,-22.9,-22.9,-22.9,-22.9,-22.9,-22.9,-22.9,-22.9,-22.9,
115,CHFJPY,TRAILING_STOP,5.4,16.3,9.0,33.4,33.0,-9.0,-33.0,6.3,1.3,-3.7,-4.2,-23.4,-19.3,-21.3,9.5,-22.7,-15.8,10-20p
116,EURUSD,TARGET_2,20.2,73.2,12.7,20.0,9.8,17.5,20.0,63.2,58.2,53.2,17.0,15.8,19.2,28.5,16.2,19.4,19.0,50p+
117,CHFJPY,STOP_LOSS,-16.4,8.8,26.8,27.8,16.4,-16.4,-16.4,-1.2,-6.2,-11.2,-16.4,-10.3,-12.3,-14.3,-12.3,-13.3,-11.3,5-10p
118,USDCHF,TARGET_2,26.0,46.4,15.5,25.9,13.9,20.4,20.0,34.1,29.1,24.1,19.4,19.9,17.9,15.9,14.9,18.4,17.4,30-50p
119,EURAUD,STOP_LOSS,-17.6,5.3,20.8,39.8,17.6,-17.6,-17.6,-4.7,-9.7,-14.7,-17.6,-12.4,-14.4,-16.4,-14.4,-15.2,-13.7,5-10p
120,EURGBP,TRAILING_STOP,5.4,14.1,6.8,32.0,20.5,-20.5,-20.5,-5.4,-10.4,-5.9,-20.5,-14.5,-16.5,-14.7,-16.5,-17.5,-15.4,10-20p
121,EURAUD,TRAILING_STOP,13.3,23.2,22.0,25.8,24.3,-4.7,20.0,9.2,8.2,3.2,-0.7,15.7,13.7,13.3,10.7,15.3,12.1,20-30p
122,EURGBP,INVALIDATION,-2.3,7.6,18.7,33.3,8.7,-8.7,-8.7,-2.4,-7.4,-8.7,-8.7,-6.2,-8.2,-8.7,-8.2,-8.3,-8.0,5-10p
123,CHFJPY,TARGET_2,28.6,111.4,34.8,25.1,19.3,20.0,20.0,10.1,5.1,0.1,19.0,12.7,14.0,12.0,11.0,15.5,12.5,50p+
